frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867592.554199000,0.000035000,,,,,,,,,,,,,,,,,42,1
1746867592.554207000,0.000008000,,,,,,,,,,,,,,,,,42,1
1746867593.549574000,0.995367000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8998,106,50,5888,,50,,116,1
1746867593.550038000,0.000464000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9048,0,60928,,,,66,1
1746867593.550092000,0.000054000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9048,106,97,5888,,97,,163,1
1746867593.550271000,0.000179000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9145,0,60928,,,,66,1
1746867593.554144000,0.003873000,,,,,,,,,,,,,,,,,42,1
1746867593.554170000,0.000026000,,,,,,,,,,,,,,,,,42,1
1746867593.554174000,0.000004000,,,,,,,,,,,,,,,,,42,1
1746867594.550996000,0.996822000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9145,106,50,5888,,50,,116,1
1746867594.551353000,0.000357000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9195,0,60928,,,,66,1
1746867594.551364000,0.000011000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9195,106,97,5888,,97,,163,1
1746867594.551492000,0.000128000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9292,0,60928,,,,66,1
1746867594.554267000,0.002775000,,,,,,,,,,,,,,,,,42,1
1746867594.554366000,0.000099000,,,,,,,,,,,,,,,,,42,1
1746867594.554404000,0.000038000,,,,,,,,,,,,,,,,,42,1
1746867595.552517000,0.998113000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9292,106,50,5888,,50,,116,1
1746867595.553169000,0.000652000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9342,0,60928,,,,66,1
1746867595.553224000,0.000055000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,9342,106,97,5888,,97,,163,1
1746867595.553549000,0.000325000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,9439,0,60928,,,,66,1
