frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1747142625.703397000,1.021622000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142625.703681000,0.000284000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142626.727902000,1.024221000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142626.728199000,0.000297000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142627.749397000,1.021198000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142627.749635000,0.000238000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142628.809820000,1.060185000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142628.810146000,0.000326000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142629.885559000,1.075413000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142629.885753000,0.000194000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142630.945378000,1.059625000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142630.945667000,0.000289000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142666.671157000,35.725490000,17,64,10.7.7.5,10.7.7.3,,,68,67,,,,,,,,290,324,0
1747142666.676146000,0.004989000,17,255,10.7.7.3,10.7.7.5,,,67,68,,,,,,,,556,590,0
1747142671.884362000,5.208216000,,,,,,,,,,,,,,,,,42,0
1747142671.884554000,0.000192000,,,,,,,,,,,,,,,,,60,0
1747142809.850146000,137.965592000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0002,0,0,0,65535,020405b4,,,74,0
1747142809.850382000,0.000236000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0012,0,1,0,5792,020405b4,,,74,0
1747142809.850416000,0.000034000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0010,1,1,0,129940,,,,66,0
1747142810.258706000,0.408290000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,1,1,20,5888,,20,,86,0
1747142810.258769000,0.000063000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0010,1,21,0,129920,,,,66,0
1747142810.259095000,0.000326000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0018,1,21,16,129920,,16,,82,0
1747142810.259268000,0.000173000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0010,21,17,0,5888,,,,66,0
1747142810.259375000,0.000107000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,21,17,34,5888,,34,,100,0
1747142810.259558000,0.000183000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0018,17,55,16,129888,,16,,82,0
1747142810.294848000,0.035290000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,55,33,23,5888,,23,,89,0
1747142810.295060000,0.000212000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0018,33,78,6,129868,,6,,72,0
1747142810.295287000,0.000227000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,78,39,19,5888,,19,,85,0
1747142810.295494000,0.000207000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0018,39,97,6,129852,,6,,72,0
1747142810.295664000,0.000170000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,97,45,15,5888,,15,,81,0
1747142810.295664000,0.000000000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,112,45,7,5888,,22,,73,0
1747142810.295708000,0.000044000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0010,45,119,0,129832,,,,66,0
1747142810.295839000,0.000131000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,119,45,65,5888,,65,,131,0
1747142810.296038000,0.000199000,6,64,10.7.7.5,10.7.7.4,40758,21,,,0x0018,45,184,6,129768,,6,,72,0
1747142810.300540000,0.004502000,6,64,10.7.7.4,10.7.7.5,21,40758,,,0x0018,184,51,49,5888,,49,,115,0
1747142810.300788000,0.000248000,6,64,10.7.7.5,10.7.7.4,36934,48667,,,0x0002,0,0,0,65535,020405b4,,,74,0
